Id,Price
4836,243137.06868565676
6456,181636.6063989127
11838,93959.95091550444
11567,287110.6853977956
6607,138756.8395769528
3260,171823.73408175784
4834,199164.16438478194
7319,141128.32212503013
6675,205239.2473861717
4637,454062.70157098974
9778,141808.76748602654
6661,100911.70086489466
4135,102923.60831017757
9924,220591.7491512141
6663,180561.2023236455
14316,174862.37021277484
4475,157501.9173310289
14681,222736.50522750497
4176,183541.67687877433
15254,205814.3746703579
8301,206335.0196812102
9133,206386.49891119488
8155,244561.30049101077
15561,155203.94178367688
8872,147034.67971069485
12053,148350.3041081212
13967,179155.3797974044
3493,177515.51345926558
9553,169466.11472883064
15857,282239.40095320396
2984,146612.89519734032
15453,144112.5122446169
16709,223959.36018215548
6112,207247.2790018342
10281,204311.35391244688
9887,169689.4852058142
8593,154878.9683885141
3770,147188.46983340298
11529,142986.3980327358
15299,120259.49981056385
8910,221803.31418259584
9928,146489.12568471296
2558,143042.06758592828
3068,242123.52118424908
16555,153247.6946625245
2809,213517.63617398203
16195,151980.21831517527
10136,151981.1807487847
14089,169791.65608619424
5399,257552.4125362298
6247,153753.3826089533
9825,233525.55634000423
12688,220249.4765635757
14853,215542.64068452248
1402,212318.55347973478
7055,210680.3842862635
10373,145523.6352842386
7899,142512.7942171055
5705,202180.9592211357
14032,144584.65954616878
9942,314743.41576090414
16764,145683.67625820707
6218,146376.21586517908
15306,170898.3747489065
11524,224949.70968435935
9976,188374.63307121198
14536,242847.38522446342
1721,212082.77061600192
7428,214648.14702092044
5856,205361.71497764447
15587,146818.89987370966
3570,138829.16332412764
7986,158623.7331380706
12341,200348.03094840082
4118,146085.81508576695
3946,225233.15011545687
52,304288.3528366244
12350,142381.51977401462
1142,157735.10919249014
9696,154899.61832812105
2472,205207.54939579673
12659,226861.23513937776
15101,247173.20078180986
7494,189582.23853695867
14395,174208.428224351
10616,222049.48886554057
6313,206621.00679485765
4270,155971.01626981157
14163,147942.94692046908
15472,209115.40686551933
516,158387.85707525638
1385,145941.58788696042
4881,206813.04687481074
9245,196018.84273868837
2990,145471.74927874564
14758,144113.86759280984
11877,203898.39163274202
7340,268241.03044644545
6580,189227.63627054877
7228,239139.2309999297
6077,161550.65654064584
763,222100.7798561887
9365,139054.2354357458
11718,181064.07441035355
5319,147772.93451221305
16071,210592.8323763965
